Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Alexandra,Carjacking,Total contact crime,Robbery with aggravating circumstances,163,01/01/2023,Total contact crime,ALEXANDRA
Moroka,Carjacking,Total contact crime,Robbery with aggravating circumstances,227,01/01/2023,Total contact crime,MOROKA
Akasia,Carjacking,Total contact crime,Robbery with aggravating circumstances,184,01/01/2023,Total contact crime,AKASIA
Midrand,Carjacking,Total contact crime,Robbery with aggravating circumstances,251,01/01/2023,Total contact crime,MIDRAND
Mondeor,Carjacking,Total contact crime,Robbery with aggravating circumstances,131,01/01/2023,Total contact crime,MONDEOR
Bramley,Carjacking,Total contact crime,Robbery with aggravating circumstances,216,01/01/2023,Total contact crime,BRAMLEY
Moffatview,Carjacking,Total contact crime,Robbery with aggravating circumstances,116,01/01/2023,Total contact crime,MOFFATVIEW
Alberton,Carjacking,Total contact crime,Robbery with aggravating circumstances,115,01/01/2023,Total contact crime,ALBERTON
Mabopane,Carjacking,Total contact crime,Robbery with aggravating circumstances,182,01/01/2023,Total contact crime,MABOPANE
Booysens,Carjacking,Total contact crime,Robbery with aggravating circumstances,159,01/01/2023,Total contact crime,BOOYSENS
Atteridgeville,Carjacking,Total contact crime,Robbery with aggravating circumstances,115,01/01/2023,Total contact crime,ATTERIDGEVILLE
Mamelodi,Carjacking,Total contact crime,Robbery with aggravating circumstances,65,01/01/2023,Total contact crime,MAMELODI
Boksburg North,Carjacking,Total contact crime,Robbery with aggravating circumstances,97,01/01/2023,Total contact crime,BOKSBURG NORTH
Bronkhorstspruit,Carjacking,Total contact crime,Robbery with aggravating circumstances,61,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Brakpan,Carjacking,Total contact crime,Robbery with aggravating circumstances,60,01/01/2023,Total contact crime,BRAKPAN
Bedfordview,Carjacking,Total contact crime,Robbery with aggravating circumstances,80,01/01/2023,Total contact crime,BEDFORDVIEW
Benoni,Carjacking,Total contact crime,Robbery with aggravating circumstances,68,01/01/2023,Total contact crime,BENONI
Bekkersdal,Carjacking,Total contact crime,Robbery with aggravating circumstances,79,01/01/2023,Total contact crime,BEKKERSDAL
Boksburg,Carjacking,Total contact crime,Robbery with aggravating circumstances,59,01/01/2023,Total contact crime,BOKSBURG
Lyttelton,Carjacking,Total contact crime,Robbery with aggravating circumstances,54,01/01/2023,Total contact crime,LYTTELTON
Brackendowns,Carjacking,Total contact crime,Robbery with aggravating circumstances,29,01/01/2023,Total contact crime,BRACKENDOWNS
Meadowlands,Carjacking,Total contact crime,Robbery with aggravating circumstances,72,01/01/2023,Total contact crime,MEADOWLANDS
Actonville,Carjacking,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,ACTONVILLE
Brixton,Carjacking,Total contact crime,Robbery with aggravating circumstances,46,01/01/2023,Total contact crime,BRIXTON
Brooklyn,Carjacking,Total contact crime,Robbery with aggravating circumstances,25,01/01/2023,Total contact crime,BROOKLYN
Meyerton,Carjacking,Total contact crime,Robbery with aggravating circumstances,10,01/01/2023,Total contact crime,MEYERTON
Boschkop,Carjacking,Total contact crime,Robbery with aggravating circumstances,10,01/01/2023,Total contact crime,BOSCHKOP
Magaliesburg,Carjacking,Total contact crime,Robbery with aggravating circumstances,2,01/01/2023,Total contact crime,MAGALIESBURG
Boipatong,Carjacking,Total contact crime,Robbery with aggravating circumstances,13,01/01/2023,Total contact crime,BOIPATONG
Cosmo City,Carjacking,Total contact crime,Robbery with aggravating circumstances,27,01/01/2023,Total contact crime,COSMO CITY
Sunnyside,Carjacking,Total contact crime,Robbery with aggravating circumstances,103,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,Carjacking,Total contact crime,Robbery with aggravating circumstances,9,01/01/2023,Total contact crime,TARLTON
Temba,Carjacking,Total contact crime,Robbery with aggravating circumstances,51,01/01/2023,Total contact crime,TEMBA
Tembisa,Carjacking,Total contact crime,Robbery with aggravating circumstances,210,01/01/2023,Total contact crime,TEMBISA
Tembisa South,Carjacking,Total contact crime,Robbery with aggravating circumstances,96,01/01/2023,Total contact crime,TEMBISA SOUTH
The Barrage,Carjacking,Total contact crime,Robbery with aggravating circumstances,7,01/01/2023,Total contact crime,THE BARRAGE
Tokoza,Carjacking,Total contact crime,Robbery with aggravating circumstances,36,01/01/2023,Total contact crime,TOKOZA
Tsakane,Carjacking,Total contact crime,Robbery with aggravating circumstances,160,01/01/2023,Total contact crime,TSAKANE
Eldorado Park,Carjacking,Total contact crime,Robbery with aggravating circumstances,165,01/01/2023,Total contact crime,ELDORADO PARK
Evaton,Carjacking,Total contact crime,Robbery with aggravating circumstances,182,01/01/2023,Total contact crime,EVATON
Honeydew,Carjacking,Total contact crime,Robbery with aggravating circumstances,141,01/01/2023,Total contact crime,HONEYDEW
Germiston,Carjacking,Total contact crime,Robbery with aggravating circumstances,156,01/01/2023,Total contact crime,GERMISTON
Florida,Carjacking,Total contact crime,Robbery with aggravating circumstances,99,01/01/2023,Total contact crime,FLORIDA
Cleveland,Carjacking,Total contact crime,Robbery with aggravating circumstances,125,01/01/2023,Total contact crime,CLEVELAND
Ennerdale,Carjacking,Total contact crime,Robbery with aggravating circumstances,97,01/01/2023,Total contact crime,ENNERDALE
Heidelberg (Gp),Carjacking,Total contact crime,Robbery with aggravating circumstances,70,01/01/2023,Total contact crime,HEIDELBERG (GP)
Dawn Park,Carjacking,Total contact crime,Robbery with aggravating circumstances,56,01/01/2023,Total contact crime,DAWN PARK
Daveyton,Carjacking,Total contact crime,Robbery with aggravating circumstances,93,01/01/2023,Total contact crime,DAVEYTON
Dobsonville,Carjacking,Total contact crime,Robbery with aggravating circumstances,118,01/01/2023,Total contact crime,DOBSONVILLE
Douglasdale,Carjacking,Total contact crime,Robbery with aggravating circumstances,66,01/01/2023,Total contact crime,DOUGLASDALE
Ga-Rankuwa,Carjacking,Total contact crime,Robbery with aggravating circumstances,76,01/01/2023,Total contact crime,GA-RANKUWA
De Deur,Carjacking,Total contact crime,Robbery with aggravating circumstances,79,01/01/2023,Total contact crime,DE DEUR
Edenpark,Carjacking,Total contact crime,Robbery with aggravating circumstances,66,01/01/2023,Total contact crime,EDENPARK
Elsburg,Carjacking,Total contact crime,Robbery with aggravating circumstances,67,01/01/2023,Total contact crime,ELSBURG
Carletonville,Carjacking,Total contact crime,Robbery with aggravating circumstances,69,01/01/2023,Total contact crime,CARLETONVILLE
Doornkop,Carjacking,Total contact crime,Robbery with aggravating circumstances,72,01/01/2023,Total contact crime,DOORNKOP
Diepkloof,Carjacking,Total contact crime,Robbery with aggravating circumstances,88,01/01/2023,Total contact crime,DIEPKLOOF
Hillbrow,Carjacking,Total contact crime,Robbery with aggravating circumstances,63,01/01/2023,Total contact crime,HILLBROW
Duduza,Carjacking,Total contact crime,Robbery with aggravating circumstances,52,01/01/2023,Total contact crime,DUDUZA
Edenvale,Carjacking,Total contact crime,Robbery with aggravating circumstances,29,01/01/2023,Total contact crime,EDENVALE
Diepsloot,Carjacking,Total contact crime,Robbery with aggravating circumstances,27,01/01/2023,Total contact crime,DIEPSLOOT
Fochville,Carjacking,Total contact crime,Robbery with aggravating circumstances,78,01/01/2023,Total contact crime,FOCHVILLE
Etwatwa,Carjacking,Total contact crime,Robbery with aggravating circumstances,54,01/01/2023,Total contact crime,ETWATWA
Eersterust,Carjacking,Total contact crime,Robbery with aggravating circumstances,27,01/01/2023,Total contact crime,EERSTERUST
Cullinan,Carjacking,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,CULLINAN
Crystalpark,Carjacking,Total contact crime,Robbery with aggravating circumstances,40,01/01/2023,Total contact crime,CRYSTALPARK
Erasmia,Carjacking,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,ERASMIA
Hercules,Carjacking,Total contact crime,Robbery with aggravating circumstances,24,01/01/2023,Total contact crime,HERCULES
Garsfontein,Carjacking,Total contact crime,Robbery with aggravating circumstances,12,01/01/2023,Total contact crime,GARSFONTEIN
Devon,Carjacking,Total contact crime,Robbery with aggravating circumstances,29,01/01/2023,Total contact crime,DEVON
Ekangala,Carjacking,Total contact crime,Robbery with aggravating circumstances,16,01/01/2023,Total contact crime,EKANGALA
Hekpoort,Carjacking,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,HEKPOORT
Hammanskraal,Carjacking,Total contact crime,Robbery with aggravating circumstances,20,01/01/2023,Total contact crime,HAMMANSKRAAL
Dube,Carjacking,Total contact crime,Robbery with aggravating circumstances,4,01/01/2023,Total contact crime,DUBE
Dunnottar,Carjacking,Total contact crime,Robbery with aggravating circumstances,4,01/01/2023,Total contact crime,DUNNOTTAR
Fairland,Carjacking,Total contact crime,Robbery with aggravating circumstances,11,01/01/2023,Total contact crime,FAIRLAND
Orange Farms,Carjacking,Total contact crime,Robbery with aggravating circumstances,188,01/01/2023,Total contact crime,ORANGE FARMS
Kempton Park,Carjacking,Total contact crime,Robbery with aggravating circumstances,176,01/01/2023,Total contact crime,KEMPTON PARK
Jeppe,Carjacking,Total contact crime,Robbery with aggravating circumstances,205,01/01/2023,Total contact crime,JEPPE
Olievenhoutbosch,Carjacking,Total contact crime,Robbery with aggravating circumstances,248,01/01/2023,Total contact crime,OLIEVENHOUTBOSCH
Kagiso,Carjacking,Total contact crime,Robbery with aggravating circumstances,98,01/01/2023,Total contact crime,KAGISO
Loate,Carjacking,Total contact crime,Robbery with aggravating circumstances,136,01/01/2023,Total contact crime,LOATE
Jhb Central,Carjacking,Total contact crime,Robbery with aggravating circumstances,124,01/01/2023,Total contact crime,JHB CENTRAL
Lenasia South,Carjacking,Total contact crime,Robbery with aggravating circumstances,123,01/01/2023,Total contact crime,LENASIA SOUTH
Lenasia,Carjacking,Total contact crime,Robbery with aggravating circumstances,121,01/01/2023,Total contact crime,LENASIA
Norkempark,Carjacking,Total contact crime,Robbery with aggravating circumstances,120,01/01/2023,Total contact crime,NORKEMPARK
Krugersdorp,Carjacking,Total contact crime,Robbery with aggravating circumstances,69,01/01/2023,Total contact crime,KRUGERSDORP
Orlando,Carjacking,Total contact crime,Robbery with aggravating circumstances,83,01/01/2023,Total contact crime,ORLANDO
Kwa Thema,Carjacking,Total contact crime,Robbery with aggravating circumstances,65,01/01/2023,Total contact crime,KWA THEMA
Katlehong,Carjacking,Total contact crime,Robbery with aggravating circumstances,47,01/01/2023,Total contact crime,KATLEHONG
Olifantsfontein,Carjacking,Total contact crime,Robbery with aggravating circumstances,69,01/01/2023,Total contact crime,OLIFANTSFONTEIN
Katlehong North,Carjacking,Total contact crime,Robbery with aggravating circumstances,34,01/01/2023,Total contact crime,KATLEHONG NORTH
Kliptown,Carjacking,Total contact crime,Robbery with aggravating circumstances,57,01/01/2023,Total contact crime,KLIPTOWN
Naledi,Carjacking,Total contact crime,Robbery with aggravating circumstances,73,01/01/2023,Total contact crime,NALEDI
Muldersdrift,Carjacking,Total contact crime,Robbery with aggravating circumstances,47,01/01/2023,Total contact crime,MULDERSDRIFT
Kliprivier,Carjacking,Total contact crime,Robbery with aggravating circumstances,40,01/01/2023,Total contact crime,KLIPRIVIER
Langlaagte,Carjacking,Total contact crime,Robbery with aggravating circumstances,30,01/01/2023,Total contact crime,LANGLAAGTE
Norwood,Carjacking,Total contact crime,Robbery with aggravating circumstances,12,01/01/2023,Total contact crime,NORWOOD
Linden,Carjacking,Total contact crime,Robbery with aggravating circumstances,22,01/01/2023,Total contact crime,LINDEN
Laudium,Carjacking,Total contact crime,Robbery with aggravating circumstances,20,01/01/2023,Total contact crime,LAUDIUM
Nigel,Carjacking,Total contact crime,Robbery with aggravating circumstances,10,01/01/2023,Total contact crime,NIGEL
Kameeldrift,Carjacking,Total contact crime,Robbery with aggravating circumstances,11,01/01/2023,Total contact crime,KAMEELDRIFT
Parkview,Carjacking,Total contact crime,Robbery with aggravating circumstances,6,01/01/2023,Total contact crime,PARKVIEW
Khutsong,Carjacking,Total contact crime,Robbery with aggravating circumstances,5,01/01/2023,Total contact crime,KHUTSONG
Or Tambo Intern Airp,Carjacking,Total contact crime,Robbery with aggravating circumstances,3,01/01/2023,Total contact crime,OR TAMBO INTERN AIRP
Sandringham,Carjacking,Total contact crime,Robbery with aggravating circumstances,238,01/01/2023,Total contact crime,SANDRINGHAM
Pretoria West,Carjacking,Total contact crime,Robbery with aggravating circumstances,232,01/01/2023,Total contact crime,PRETORIA WEST
Sandton,Carjacking,Total contact crime,Robbery with aggravating circumstances,115,01/01/2023,Total contact crime,SANDTON
Ivory Park,Carjacking,Total contact crime,Robbery with aggravating circumstances,201,01/01/2023,Total contact crime,IVORY PARK
Silverton,Carjacking,Total contact crime,Robbery with aggravating circumstances,111,01/01/2023,Total contact crime,SILVERTON
Vosloorus,Carjacking,Total contact crime,Robbery with aggravating circumstances,173,01/01/2023,Total contact crime,VOSLOORUS
Rietgat,Carjacking,Total contact crime,Robbery with aggravating circumstances,156,01/01/2023,Total contact crime,RIETGAT
Protea,Carjacking,Total contact crime,Robbery with aggravating circumstances,153,01/01/2023,Total contact crime,PROTEA
Soshanguve,Carjacking,Total contact crime,Robbery with aggravating circumstances,150,01/01/2023,Total contact crime,SOSHANGUVE
Rabie Ridge,Carjacking,Total contact crime,Robbery with aggravating circumstances,133,01/01/2023,Total contact crime,RABIE RIDGE
Randfontein,Carjacking,Total contact crime,Robbery with aggravating circumstances,128,01/01/2023,Total contact crime,RANDFONTEIN
Yeoville,Carjacking,Total contact crime,Robbery with aggravating circumstances,69,01/01/2023,Total contact crime,YEOVILLE
Jabulani,Carjacking,Total contact crime,Robbery with aggravating circumstances,99,01/01/2023,Total contact crime,JABULANI
Vanderbijlpark,Carjacking,Total contact crime,Robbery with aggravating circumstances,96,01/01/2023,Total contact crime,VANDERBIJLPARK
Westonaria,Carjacking,Total contact crime,Robbery with aggravating circumstances,116,01/01/2023,Total contact crime,WESTONARIA
Springs,Carjacking,Total contact crime,Robbery with aggravating circumstances,92,01/01/2023,Total contact crime,SPRINGS
Sebokeng,Carjacking,Total contact crime,Robbery with aggravating circumstances,87,01/01/2023,Total contact crime,SEBOKENG
Roodepoort,Carjacking,Total contact crime,Robbery with aggravating circumstances,67,01/01/2023,Total contact crime,ROODEPOORT
Sophia Town,Carjacking,Total contact crime,Robbery with aggravating circumstances,57,01/01/2023,Total contact crime,SOPHIA TOWN
Wierdabrug,Carjacking,Total contact crime,Robbery with aggravating circumstances,86,01/01/2023,Total contact crime,WIERDABRUG
Sebenza,Carjacking,Total contact crime,Robbery with aggravating circumstances,45,01/01/2023,Total contact crime,SEBENZA
Pretoria Central,Carjacking,Total contact crime,Robbery with aggravating circumstances,51,01/01/2023,Total contact crime,PRETORIA CENTRAL
Randburg,Carjacking,Total contact crime,Robbery with aggravating circumstances,45,01/01/2023,Total contact crime,RANDBURG
Vereeniging,Carjacking,Total contact crime,Robbery with aggravating circumstances,32,01/01/2023,Total contact crime,VEREENIGING
Zonkizizwe,Carjacking,Total contact crime,Robbery with aggravating circumstances,43,01/01/2023,Total contact crime,ZONKIZIZWE
Primrose,Carjacking,Total contact crime,Robbery with aggravating circumstances,55,01/01/2023,Total contact crime,PRIMROSE
Putfontein,Carjacking,Total contact crime,Robbery with aggravating circumstances,34,01/01/2023,Total contact crime,PUTFONTEIN
Villieria,Carjacking,Total contact crime,Robbery with aggravating circumstances,31,01/01/2023,Total contact crime,VILLIERIA
Sinoville,Carjacking,Total contact crime,Robbery with aggravating circumstances,19,01/01/2023,Total contact crime,SINOVILLE
Reigerpark,Carjacking,Total contact crime,Robbery with aggravating circumstances,14,01/01/2023,Total contact crime,REIGERPARK
Pretoria North,Carjacking,Total contact crime,Robbery with aggravating circumstances,17,01/01/2023,Total contact crime,PRETORIA NORTH
Pretoria Moot,Carjacking,Total contact crime,Robbery with aggravating circumstances,10,01/01/2023,Total contact crime,PRETORIA MOOT
Sharpeville,Carjacking,Total contact crime,Robbery with aggravating circumstances,20,01/01/2023,Total contact crime,SHARPEVILLE
Ratanda,Carjacking,Total contact crime,Robbery with aggravating circumstances,15,01/01/2023,Total contact crime,RATANDA
Welbekend,Carjacking,Total contact crime,Robbery with aggravating circumstances,15,01/01/2023,Total contact crime,WELBEKEND
Wonderboompoort,Carjacking,Total contact crime,Robbery with aggravating circumstances,10,01/01/2023,Total contact crime,WONDERBOOMPOORT
Wedela,Carjacking,Total contact crime,Robbery with aggravating circumstances,4,01/01/2023,Total contact crime,WEDELA
Rosebank,Carjacking,Total contact crime,Robbery with aggravating circumstances,5,01/01/2023,Total contact crime,ROSEBANK
Vaal Marina,Carjacking,Total contact crime,Robbery with aggravating circumstances,1,01/01/2023,Total contact crime,VAAL MARINA
Alexandra,Sexual Assault,Total contact crime,Total sexual offences,29,01/01/2023,Total contact crime,ALEXANDRA
Moroka,Sexual Assault,Total contact crime,Total sexual offences,38,01/01/2023,Total contact crime,MOROKA
Midrand,Sexual Assault,Total contact crime,Total sexual offences,19,01/01/2023,Total contact crime,MIDRAND
Boksburg North,Sexual Assault,Total contact crime,Total sexual offences,23,01/01/2023,Total contact crime,BOKSBURG NORTH
Benoni,Sexual Assault,Total contact crime,Total sexual offences,12,01/01/2023,Total contact crime,BENONI
Mamelodi East,Sexual Assault,Total contact crime,Total sexual offences,24,01/01/2023,Total contact crime,MAMELODI EAST
Brakpan,Sexual Assault,Total contact crime,Total sexual offences,24,01/01/2023,Total contact crime,BRAKPAN
Alberton,Sexual Assault,Total contact crime,Total sexual offences,18,01/01/2023,Total contact crime,ALBERTON
Boksburg,Sexual Assault,Total contact crime,Total sexual offences,18,01/01/2023,Total contact crime,BOKSBURG
Bronkhorstspruit,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Akasia,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,AKASIA
Booysens,Sexual Assault,Total contact crime,Total sexual offences,12,01/01/2023,Total contact crime,BOOYSENS
Mondeor,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,MONDEOR
Mabopane,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,MABOPANE
Brixton,Sexual Assault,Total contact crime,Total sexual offences,11,01/01/2023,Total contact crime,BRIXTON
Lyttelton,Sexual Assault,Total contact crime,Total sexual offences,22,01/01/2023,Total contact crime,LYTTELTON
Brackendowns,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,BRACKENDOWNS
Brooklyn,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,BROOKLYN
Boschkop,Sexual Assault,Total contact crime,Total sexual offences,17,01/01/2023,Total contact crime,BOSCHKOP
Bramley,Sexual Assault,Total contact crime,Total sexual offences,15,01/01/2023,Total contact crime,BRAMLEY
Meadowlands,Sexual Assault,Total contact crime,Total sexual offences,19,01/01/2023,Total contact crime,MEADOWLANDS
Atteridgeville,Sexual Assault,Total contact crime,Total sexual offences,19,01/01/2023,Total contact crime,ATTERIDGEVILLE
Bekkersdal,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,BEKKERSDAL
Mamelodi,Sexual Assault,Total contact crime,Total sexual offences,15,01/01/2023,Total contact crime,MAMELODI
Moffatview,Sexual Assault,Total contact crime,Total sexual offences,10,01/01/2023,Total contact crime,MOFFATVIEW
Bedfordview,Sexual Assault,Total contact crime,Total sexual offences,8,01/01/2023,Total contact crime,BEDFORDVIEW
Meyerton,Sexual Assault,Total contact crime,Total sexual offences,3,01/01/2023,Total contact crime,MEYERTON
Actonville,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,ACTONVILLE
Magaliesburg,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,MAGALIESBURG
Boipatong,Sexual Assault,Total contact crime,Total sexual offences,3,01/01/2023,Total contact crime,BOIPATONG
Honeydew,Sexual Assault,Total contact crime,Total sexual offences,25,01/01/2023,Total contact crime,HONEYDEW
Hillbrow,Sexual Assault,Total contact crime,Total sexual offences,33,01/01/2023,Total contact crime,HILLBROW
Hercules,Sexual Assault,Total contact crime,Total sexual offences,18,01/01/2023,Total contact crime,HERCULES
Dawn Park,Sexual Assault,Total contact crime,Total sexual offences,16,01/01/2023,Total contact crime,DAWN PARK
Eldorado Park,Sexual Assault,Total contact crime,Total sexual offences,23,01/01/2023,Total contact crime,ELDORADO PARK
Douglasdale,Sexual Assault,Total contact crime,Total sexual offences,30,01/01/2023,Total contact crime,DOUGLASDALE
Daveyton,Sexual Assault,Total contact crime,Total sexual offences,17,01/01/2023,Total contact crime,DAVEYTON
Germiston,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,GERMISTON
Dobsonville,Sexual Assault,Total contact crime,Total sexual offences,17,01/01/2023,Total contact crime,DOBSONVILLE
Diepkloof,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,DIEPKLOOF
Etwatwa,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,ETWATWA
Ennerdale,Sexual Assault,Total contact crime,Total sexual offences,19,01/01/2023,Total contact crime,ENNERDALE
Diepsloot,Sexual Assault,Total contact crime,Total sexual offences,20,01/01/2023,Total contact crime,DIEPSLOOT
Ga-Rankuwa,Sexual Assault,Total contact crime,Total sexual offences,10,01/01/2023,Total contact crime,GA-RANKUWA
Duduza,Sexual Assault,Total contact crime,Total sexual offences,6,01/01/2023,Total contact crime,DUDUZA
Hammanskraal,Sexual Assault,Total contact crime,Total sexual offences,10,01/01/2023,Total contact crime,HAMMANSKRAAL
Florida,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,FLORIDA
Edenpark,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,EDENPARK
Carletonville,Sexual Assault,Total contact crime,Total sexual offences,17,01/01/2023,Total contact crime,CARLETONVILLE
Doornkop,Sexual Assault,Total contact crime,Total sexual offences,15,01/01/2023,Total contact crime,DOORNKOP
Elsburg,Sexual Assault,Total contact crime,Total sexual offences,10,01/01/2023,Total contact crime,ELSBURG
Cullinan,Sexual Assault,Total contact crime,Total sexual offences,8,01/01/2023,Total contact crime,CULLINAN
Evaton,Sexual Assault,Total contact crime,Total sexual offences,4,01/01/2023,Total contact crime,EVATON
Edenvale,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,EDENVALE
Eersterust,Sexual Assault,Total contact crime,Total sexual offences,9,01/01/2023,Total contact crime,EERSTERUST
De Deur,Sexual Assault,Total contact crime,Total sexual offences,5,01/01/2023,Total contact crime,DE DEUR
Ekangala,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,EKANGALA
Garsfontein,Sexual Assault,Total contact crime,Total sexual offences,11,01/01/2023,Total contact crime,GARSFONTEIN
Dube,Sexual Assault,Total contact crime,Total sexual offences,0,01/01/2023,Total contact crime,DUBE
Heidelberg (Gp),Sexual Assault,Total contact crime,Total sexual offences,9,01/01/2023,Total contact crime,HEIDELBERG (GP)
Cleveland,Sexual Assault,Total contact crime,Total sexual offences,11,01/01/2023,Total contact crime,CLEVELAND
Dunnottar,Sexual Assault,Total contact crime,Total sexual offences,3,01/01/2023,Total contact crime,DUNNOTTAR
Erasmia,Sexual Assault,Total contact crime,Total sexual offences,1,01/01/2023,Total contact crime,ERASMIA
Fairland,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,FAIRLAND
Devon,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,DEVON
Crystalpark,Sexual Assault,Total contact crime,Total sexual offences,4,01/01/2023,Total contact crime,CRYSTALPARK
Fochville,Sexual Assault,Total contact crime,Total sexual offences,2,01/01/2023,Total contact crime,FOCHVILLE
Hekpoort,Sexual Assault,Total contact crime,Total sexual offences,1,01/01/2023,Total contact crime,HEKPOORT
Sunnyside,Sexual Assault,Total contact crime,Total sexual offences,31,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,Sexual Assault,Total contact crime,Total sexual offences,0,01/01/2023,Total contact crime,TARLTON
Temba,Sexual Assault,Total contact crime,Total sexual offences,44,01/01/2023,Total contact crime,TEMBA
Tembisa,Sexual Assault,Total contact crime,Total sexual offences,32,01/01/2023,Total contact crime,TEMBISA
Tembisa South,Sexual Assault,Total contact crime,Total sexual offences,8,01/01/2023,Total contact crime,TEMBISA SOUTH
The Barrage,Sexual Assault,Total contact crime,Total sexual offences,0,01/01/2023,Total contact crime,THE BARRAGE
Tokoza,Sexual Assault,Total contact crime,Total sexual offences,9,01/01/2023,Total contact crime,TOKOZA
Tsakane,Sexual Assault,Total contact crime,Total sexual offences,32,01/01/2023,Total contact crime,TSAKANE
Cosmo City,Sexual assault,Total contact crime,Total sexual offences,6,01/01/2023,Total contact crime,COSMO CITY
Jhb Central,Sexual Assault,Total contact crime,Total sexual offences,18,01/01/2023,Total contact crime,JHB CENTRAL
Jeppe,Sexual Assault,Total contact crime,Total sexual offences,37,01/01/2023,Total contact crime,JEPPE
Orange Farms,Sexual Assault,Total contact crime,Total sexual offences,18,01/01/2023,Total contact crime,ORANGE FARMS
Kliptown,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,KLIPTOWN
Loate,Sexual Assault,Total contact crime,Total sexual offences,11,01/01/2023,Total contact crime,LOATE
Lenasia,Sexual Assault,Total contact crime,Total sexual offences,14,01/01/2023,Total contact crime,LENASIA
Katlehong North,Sexual Assault,Total contact crime,Total sexual offences,15,01/01/2023,Total contact crime,KATLEHONG NORTH
Kempton Park,Sexual Assault,Total contact crime,Total sexual offences,25,01/01/2023,Total contact crime,KEMPTON PARK
Katlehong,Sexual Assault,Total contact crime,Total sexual offences,19,01/01/2023,Total contact crime,KATLEHONG
Orlando,Sexual Assault,Total contact crime,Total sexual offences,11,01/01/2023,Total contact crime,ORLANDO
Linden,Sexual Assault,Total contact crime,Total sexual offences,10,01/01/2023,Total contact crime,LINDEN
Krugersdorp,Sexual Assault,Total contact crime,Total sexual offences,12,01/01/2023,Total contact crime,KRUGERSDORP
Olievenhoutbosch,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,OLIEVENHOUTBOSCH
Kagiso,Sexual Assault,Total contact crime,Total sexual offences,18,01/01/2023,Total contact crime,KAGISO
Kwa Thema,Sexual Assault,Total contact crime,Total sexual offences,12,01/01/2023,Total contact crime,KWA THEMA
Khutsong,Sexual Assault,Total contact crime,Total sexual offences,11,01/01/2023,Total contact crime,KHUTSONG
Naledi,Sexual Assault,Total contact crime,Total sexual offences,7,01/01/2023,Total contact crime,NALEDI
Norkempark,Sexual Assault,Total contact crime,Total sexual offences,17,01/01/2023,Total contact crime,NORKEMPARK
Parkview,Sexual Assault,Total contact crime,Total sexual offences,9,01/01/2023,Total contact crime,PARKVIEW
Norwood,Sexual Assault,Total contact crime,Total sexual offences,6,01/01/2023,Total contact crime,NORWOOD
Langlaagte,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,LANGLAAGTE
Laudium,Sexual Assault,Total contact crime,Total sexual offences,0,01/01/2023,Total contact crime,LAUDIUM
Lenasia South,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,LENASIA SOUTH
Kliprivier,Sexual Assault,Total contact crime,Total sexual offences,5,01/01/2023,Total contact crime,KLIPRIVIER
Muldersdrift,Sexual Assault,Total contact crime,Total sexual offences,3,01/01/2023,Total contact crime,MULDERSDRIFT
Nigel,Sexual Assault,Total contact crime,Total sexual offences,13,01/01/2023,Total contact crime,NIGEL
